,SQL,Python,Cloud,Azure,ETL,AWS,Spark,Databricks,Artificial Intelligence,GCP
SQL,0.0,68.36283185840708,52.654867256637175,50.88495575221239,45.13274336283185,33.6283185840708,30.752212389380528,29.646017699115045,19.690265486725664,26.548672566371685
Python,79.23076923076923,0.0,61.53846153846154,54.35897435897436,40.0,40.0,39.23076923076923,34.61538461538461,30.76923076923077,30.512820512820515
Cloud,69.5906432748538,70.17543859649122,0.0,60.526315789473685,38.59649122807017,47.66081871345029,38.88888888888889,34.21052631578947,31.57894736842105,38.01169590643275
Azure,73.24840764331209,67.51592356687898,65.92356687898089,0.0,44.5859872611465,47.77070063694268,38.53503184713376,51.910828025477706,29.936305732484076,32.48407643312102
ETL,86.07594936708861,65.82278481012658,55.69620253164557,59.07172995780591,0.0,39.66244725738397,34.59915611814346,33.755274261603375,22.362869198312236,30.37974683544304
AWS,70.69767441860465,72.55813953488372,75.81395348837209,69.76744186046511,43.72093023255814,0.0,41.3953488372093,33.02325581395349,31.627906976744185,44.18604651162791
Spark,72.77486910994764,80.10471204188482,69.63350785340315,63.35078534031413,42.93193717277487,46.596858638743456,0.0,49.73821989528796,33.50785340314136,32.460732984293195
Databricks,72.82608695652173,73.36956521739131,63.58695652173913,88.58695652173914,43.47826086956522,38.58695652173913,51.63043478260869,0.0,32.608695652173914,18.478260869565215
Artificial Intelligence,53.6144578313253,72.28915662650603,65.06024096385542,56.62650602409639,31.92771084337349,40.963855421686745,38.55421686746988,36.144578313253014,0.0,23.49397590361446
GCP,80.0,79.33333333333333,86.66666666666667,68.0,48.0,63.33333333333333,41.333333333333336,22.666666666666664,26.0,0.0
