,SQL,Power BI,AWS,SQL Server,ELT,ETL,Artificial Intelligence,Power Query,Azure Synapse Analytics,PySpark
SQL,0.0,65.93406593406593,18.681318681318682,12.087912087912088,8.791208791208792,8.791208791208792,5.4945054945054945,9.89010989010989,8.791208791208792,8.791208791208792
Power BI,93.75,0.0,17.1875,17.1875,12.5,12.5,4.6875,14.0625,9.375,3.125
AWS,100.0,64.70588235294117,0.0,11.76470588235294,17.647058823529413,17.647058823529413,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294
SQL Server,100.0,100.0,18.181818181818183,0.0,0.0,0.0,0.0,36.36363636363637,18.181818181818183,0.0
ELT,72.72727272727273,72.72727272727273,27.27272727272727,0.0,0.0,100.0,9.090909090909092,0.0,0.0,27.27272727272727
ETL,72.72727272727273,72.72727272727273,27.27272727272727,0.0,100.0,0.0,9.090909090909092,0.0,0.0,27.27272727272727
Artificial Intelligence,50.0,30.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0
Power Query,100.0,100.0,22.22222222222222,44.44444444444444,0.0,0.0,0.0,0.0,22.22222222222222,0.0
Azure Synapse Analytics,100.0,75.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0
PySpark,100.0,25.0,25.0,0.0,37.5,37.5,12.5,0.0,0.0,0.0
