,SQL,Python,Power BI,ETL,Cloud,Azure,Data Analysis,Data Modeling,Databases,Snowflake
SQL,0.0,60.86956521739131,55.434782608695656,41.30434782608695,36.95652173913043,36.95652173913043,31.521739130434785,25.0,22.82608695652174,19.565217391304348
Python,98.24561403508771,0.0,45.614035087719294,35.08771929824561,40.35087719298245,33.33333333333333,42.10526315789473,26.31578947368421,26.31578947368421,17.543859649122805
Power BI,94.44444444444444,48.148148148148145,0.0,40.74074074074074,44.44444444444444,38.88888888888889,25.925925925925924,29.629629629629626,20.37037037037037,22.22222222222222
ETL,90.47619047619048,47.61904761904761,52.38095238095239,0.0,33.33333333333333,40.476190476190474,26.190476190476193,35.714285714285715,19.047619047619047,28.57142857142857
Cloud,87.17948717948718,58.97435897435898,61.53846153846154,35.8974358974359,0.0,58.97435897435898,46.15384615384615,38.46153846153847,28.205128205128204,38.46153846153847
Azure,87.17948717948718,48.717948717948715,53.84615384615385,43.58974358974359,58.97435897435898,0.0,35.8974358974359,33.33333333333333,28.205128205128204,28.205128205128204
Data Analysis,87.87878787878788,72.72727272727273,42.42424242424242,33.33333333333333,54.54545454545454,42.42424242424242,0.0,30.303030303030305,45.45454545454545,18.181818181818183
Data Modeling,92.0,60.0,64.0,60.0,60.0,52.0,40.0,0.0,28.000000000000004,32.0
Databases,84.0,60.0,44.0,32.0,44.0,44.0,60.0,28.000000000000004,0.0,20.0
Snowflake,81.81818181818183,45.45454545454545,54.54545454545454,54.54545454545454,68.18181818181817,50.0,27.27272727272727,36.36363636363637,22.727272727272727,0.0
