,AWS,Artificial Intelligence,SQL,Machine Learning,Azure,GCP,ELT,ETL,Azure Data Factory,SQL Server
AWS,0.0,54.54545454545454,40.909090909090914,45.45454545454545,13.636363636363635,18.181818181818183,18.181818181818183,18.181818181818183,13.636363636363635,22.727272727272727
Artificial Intelligence,60.0,0.0,35.0,55.00000000000001,15.0,20.0,20.0,20.0,5.0,15.0
SQL,56.25,43.75,0.0,25.0,12.5,18.75,25.0,25.0,25.0,37.5
Machine Learning,66.66666666666666,73.33333333333333,26.666666666666668,0.0,20.0,26.666666666666668,13.333333333333334,13.333333333333334,20.0,13.333333333333334
Azure,42.857142857142854,42.857142857142854,28.57142857142857,42.857142857142854,0.0,0.0,0.0,0.0,28.57142857142857,0.0
GCP,66.66666666666666,66.66666666666666,50.0,66.66666666666666,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,50.0
ELT,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,0.0,16.666666666666664,0.0,100.0,16.666666666666664,16.666666666666664
ETL,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,0.0,16.666666666666664,100.0,0.0,16.666666666666664,16.666666666666664
Azure Data Factory,50.0,16.666666666666664,66.66666666666666,50.0,33.33333333333333,33.33333333333333,16.666666666666664,16.666666666666664,0.0,50.0
SQL Server,83.33333333333334,50.0,100.0,33.33333333333333,0.0,50.0,16.666666666666664,16.666666666666664,50.0,0.0
