,SQL,AWS,PySpark,Artificial Intelligence,Cloud,ELT,ETL,Azure,Machine Learning,Azure Data Factory
SQL,0.0,39.523809523809526,23.809523809523807,15.238095238095239,20.0,20.476190476190474,20.476190476190474,17.142857142857142,12.857142857142856,16.666666666666664
AWS,76.14678899082568,0.0,24.770642201834864,21.100917431192663,22.018348623853214,20.18348623853211,20.18348623853211,3.669724770642202,16.51376146788991,6.422018348623854
PySpark,79.36507936507937,42.857142857142854,0.0,22.22222222222222,15.873015873015872,17.46031746031746,17.46031746031746,17.46031746031746,19.047619047619047,25.396825396825395
Artificial Intelligence,62.745098039215684,45.09803921568628,27.450980392156865,0.0,11.76470588235294,23.52941176470588,23.52941176470588,17.647058823529413,35.294117647058826,15.686274509803921
Cloud,84.0,48.0,20.0,12.0,0.0,20.0,20.0,20.0,14.000000000000002,8.0
ELT,93.47826086956522,47.82608695652174,23.91304347826087,26.08695652173913,21.73913043478261,0.0,100.0,17.391304347826086,19.565217391304348,26.08695652173913
ETL,93.47826086956522,47.82608695652174,23.91304347826087,26.08695652173913,21.73913043478261,100.0,0.0,17.391304347826086,19.565217391304348,26.08695652173913
Azure,85.71428571428571,9.523809523809524,26.190476190476193,21.428571428571427,23.809523809523807,19.047619047619047,19.047619047619047,0.0,21.428571428571427,38.095238095238095
Machine Learning,67.5,45.0,30.0,45.0,17.5,22.5,22.5,22.5,0.0,20.0
Azure Data Factory,92.10526315789474,18.421052631578945,42.10526315789473,21.052631578947366,10.526315789473683,31.57894736842105,31.57894736842105,42.10526315789473,21.052631578947366,0.0
