,Python,Machine Learning,Artificial Intelligence,SQL,Cloud,Azure,AWS,GCP,Spark,Data Analysis
Python,0.0,85.71428571428571,65.71428571428571,65.71428571428571,57.14285714285714,50.0,42.857142857142854,35.714285714285715,34.285714285714285,30.0
Machine Learning,89.55223880597015,0.0,68.65671641791045,61.19402985074627,59.70149253731343,50.74626865671642,40.298507462686565,32.83582089552239,34.32835820895522,28.35820895522388
Artificial Intelligence,85.18518518518519,85.18518518518519,0.0,57.407407407407405,66.66666666666666,55.55555555555556,48.148148148148145,38.88888888888889,31.48148148148148,22.22222222222222
SQL,92.0,82.0,62.0,0.0,52.0,48.0,44.0,42.0,38.0,26.0
Cloud,83.33333333333334,83.33333333333334,75.0,54.166666666666664,0.0,70.83333333333334,56.25,47.91666666666667,35.41666666666667,29.166666666666668
Azure,76.08695652173914,73.91304347826086,65.21739130434783,52.17391304347826,73.91304347826086,0.0,58.69565217391305,50.0,32.608695652173914,17.391304347826086
AWS,85.71428571428571,77.14285714285715,74.28571428571429,62.857142857142854,77.14285714285715,77.14285714285715,0.0,60.0,42.857142857142854,20.0
GCP,83.33333333333334,73.33333333333333,70.0,70.0,76.66666666666667,76.66666666666667,70.0,0.0,36.666666666666664,23.333333333333332
Spark,88.88888888888889,85.18518518518519,62.96296296296296,70.37037037037037,62.96296296296296,55.55555555555556,55.55555555555556,40.74074074074074,0.0,7.4074074074074066
Data Analysis,87.5,79.16666666666666,50.0,54.166666666666664,58.333333333333336,33.33333333333333,29.166666666666668,29.166666666666668,8.333333333333332,0.0
